community_name,plate,site,age,building_density,building_type,house_count,building_count,green_rate,avr_price,develop_company,lat,lng,address,community_id,growth
康平路100弄,衡山路,衡山路,55,1.05,Null,116,12,35,129312,徐房集团,31.2097,121.449,{康平路100弄},5011000011424,0.282272221163
延庆路135号,衡山路,衡山路,85,0,Null,1,2,0,96945,暂无信息,31.2214,121.458,{延庆路135号},5011000010165,0.282280645844
金域蔚蓝家园,山阳,山阳,4,1.4,板楼,856,38,40,13066,暂无信息,30.7581,121.35,{龙轩路789弄},5011000000643,0.282230625525
迎宾路1弄,松江老城,松江老城,31,0,Null,80,9,0,18859,暂无信息,31.0103,121.255,{迎宾路1弄},5011000019509,0.282275259646
杨树浦路1991弄,周家嘴路,周家嘴路,Null,0,板楼,2,3,0,102375,暂无信息,31.2683,121.551,{杨树浦路1991弄},509821540057351,0.282278463516
愚园路1374号,中山公园,中山公园,Null,0,Null,3,2,0,100143,暂无信息,31.2253,121.43,{愚园路1374号},509821540057308,0.282282954148
紫金名苑,朱泾,朱泾,10,0,Null,473,171,0,14849,暂无信息,30.8956,121.178,{众安街389弄},5011000003867,0.182996905849
冠生园路235弄,康健,康健,23,2.6,板楼,213,14,38,47020,上海市上投房地产有限公司,31.1683,121.433,{冠生园路235弄},5011000008144,0.28228991897
潍坊路152号,潍坊,潍坊,31,0,Null,3,2,0,86114,暂无信息,31.2314,121.532,{潍坊路152号},509821540057318,0.282274452667
延平路190弄,曹家渡,曹家渡,Null,0,板楼,2,3,0,Null,暂无信息,31.2363,121.447,{延平路190弄},5011000001555,Null
斜土路723弄,打浦桥,打浦桥,25,2.5,Null,102,4,30,64910,尚未公开,31.2084,121.479,{斜土路723弄},5011000006227,0.282292156795
星榈湾,浒关,浒关,1,1.8,板楼/平房,370,7,30,Null,暂无信息,31.3869,120.527,{浒墅关镇浒杨路118号},237121018565455,Null
阜新路179号,鞍山,鞍山,39,0,Null,20,2,0,51669,卫百辛,31.2832,121.514,{阜新路179号},5011000002820,0.28227142642
复兴中路520号,淮海中路,黄浦淮海中路,76,0,Null,2,2,0,Null,暂无信息,0,0,{复兴中路520号},5011000008063,Null
宁武路445弄,周家嘴路,周家嘴路,Null,0,Null,696,8,0,Null,暂无信息,31.277,121.548,{宁武路445弄},5011000001332,Null
复兴中路49号,新天地,新天地,40,0,Null,31,2,0,Null,暂无信息,31.2242,121.488,{复兴中路49号},5011000006647,Null
恒丰大楼（黄浦）,南京东路,南京东路,105,0,Null,134,2,0,45004,暂无信息,31.2475,121.492,{江西中路452号},5011000007167,Null
新桥大厦,人民广场,人民广场,1,0,Null,75,2,0,17319,暂无信息,31.2461,121.473,{新桥路68号},5011000017194,-0.00696530782254
东苑半岛花园（别墅）,古美,古美,15,1.5,Null,48,49,50,55474,上海东苑瑞兴置业有限公司,31.1451,121.39,{顾戴路1266弄},5011000003295,0.282273715715
